timestamp,temperature,rate0,rate1,rate2,rate3,ratev,hv_level,veto_level,id_bit,pps_active,suspended,power_on,scenario,longitude,latitude
1665476038.3155515,36,47,5,14,23,16,2827,2304,0,1,0,0,14,132.55498276518665,11.068917867775838
1665476059.4300687,36,45,5,14,23,16,2827,2304,0,1,0,0,14,133.35288853203977,9.990847428486864
1665476080.544586,36,45,5,13,23,17,2827,2304,0,1,0,0,14,134.1446762295953,8.910467784498358
1665476101.6591032,36,45,5,12,24,15,2827,2304,0,1,0,0,14,134.9317022194147,7.827755891236077
1665476122.7736206,36,43,4,14,22,15,2827,2304,0,1,0,0,14,135.71462526506758,6.743305794759202
1665476143.8881378,36,45,4,15,24,17,2827,2304,0,1,0,0,14,136.4934483772482,5.657481303566055
1665476165.002655,36,26,2,7,13,8,2827,2304,0,1,0,0,14,137.26893432446101,4.569978866487265
1665478800.011993,12,0,0,0,0,0,0,0,0,1,0,1,0,-58.64624802804484,-10.46168040864452
1665478843.3914943,14,0,0,0,0,0,3000,1900,0,1,0,0,3,-57.0185330106282,-8.240058432575282
1665478874.8042367,15,108,0,0,0,1,3000,1900,0,1,0,0,3,-55.85224662110072,-6.626038528377413
1665478906.216979,16,84,0,0,0,1,3000,1900,0,1,0,0,3,-54.69448980169545,-5.008301604611508
1665478937.6297214,17,74,0,0,0,1,3000,1900,0,1,0,0,3,-53.543190704915816,-3.387917667992004
1665478969.0424638,17,66,0,0,0,0,3000,1900,0,1,0,0,3,-52.396144671007086,-1.7659974519145691
1665479000.4552062,18,66,0,0,0,0,3000,1900,0,1,0,0,3,-51.250802755538146,-0.14310609423095577
1665479031.8679485,18,64,0,0,0,0,3000,1900,0,1,0,0,3,-50.105870317332084,1.4799255476946196
1665479063.280691,19,60,0,0,0,0,3000,1900,0,1,0,0,3,-48.959485102689456,3.102111073104078
1665479121.6186411,19,30,0,0,0,0,0,0,0,1,1,0,12,-46.818118298492834,6.109927210417606
1665479200.8984196,21,0,0,0,0,0,0,0,0,1,0,0,11,-43.86294919397253,10.178891506166712
1665479232.311162,21,0,0,0,0,0,4000,1000,0,1,0,0,0,-42.67083570469312,11.78234472206973
1665479263.7239044,21,0,0,0,0,0,4000,1000,0,1,0,0,0,-41.463386497677234,13.379301012400528
1665479295.1366467,21,0,0,0,0,0,4000,1000,0,1,0,0,0,-40.23877356573437,14.968527116752412
1665479326.5493891,22,0,0,0,0,0,4000,1000,0,1,0,0,0,-38.993021431038834,16.549650390648367
