Version,Trigger_Name,Name,Time(MJD),Trigger_Time(MJD),Trigger_Type,Trigger_Timescale(ms),Detector_Mask,Long(Degrees),Lat(Degrees)
1 ,bn221024542 ,GRB221024542 ,  59876.5404851 ,  59876.5420021 ,GRB ,2048 ,00011000000000 , 36.1667 ,-25.0500
2 ,bn221024332 ,SFL221024332 ,  59876.3306082 ,  59876.3321801 ,SFLARE ,  64 ,11000000000000 , 48.2000 , -5.8667
1 ,bn221023862 ,GRB221023862 ,  59875.8606201 ,  59875.8622098 ,GRB , 256 ,01110000000000 ,180.2500 , 12.8167
2 ,bn221023281 ,UNCERT22102328 ,  59875.2795703 ,  59875.2811111 ,UNCERT ,4096 ,01000000100000 , 97.8167 ,-15.5167
0 ,bn221022955 ,GRB221022955 ,  59874.9539102 ,  59874.9554272 ,GRB ,1024 ,00011000000000 ,240.6500 ,-22.2167
1 ,bn221022815 ,GRB221022815 ,  59874.8134309 ,  59874.8149717 ,GRB ,4096 ,00001100000000 ,246.9667 , -6.2000
0 ,bn221022612 ,GRB221022612 ,  59874.6107774 ,  59874.6123429 ,GRB ,  16 ,10011001100000 ,298.2000 ,  4.8167
0 ,bn221021720 ,SGR221021720 ,  59873.7185536 ,  59873.7201429 ,SGR ,  64 ,00001100000000 , 78.5833 , -8.3833
0 ,bn221021388 ,GRB221021388 ,  59873.3862572 ,  59873.3877979 ,GRB ,4096 ,00000001001000 ,188.2000 ,-13.6833
0 ,bn221020225 ,GRB221020225 ,  59872.2233406 ,  59872.2249170 ,GRB ,2048 ,11000000000000 , 28.6167 , 25.1333
1 ,bn221020008 ,SGR221020008 ,  59872.0065588 ,  59872.0081331 ,SGR ,  16 ,00001000100000 ,  4.5000 , -0.7833
0 ,bn221019906 ,SFLARE22101990 ,  59871.9043502 ,  59871.9059006 ,SFLARE ,  64 ,10000100000000 ,205.9167 ,  8.3667
1 ,bn221018682 ,SGR221018682 ,  59870.6805086 ,  59870.6820568 ,SGR ,  64 ,00001000100000 , 98.8500 ,-15.4167
0 ,bn221018459 ,GRB221018459 ,  59870.4570512 ,  59870.4586513 ,GRB ,2048 ,00000011010000 , 38.9000 , -1.3667
1 ,bn221018317 ,UNCERT22101831 ,  59870.3152523 ,  59870.3168233 ,UNCERT ,  16 ,00000000000011 , 40.2500 , 19.6333
1 ,bn221017691 ,SGR221017691 ,  59869.6898148 ,  59869.6914132 ,SGR ,  16 ,01000100000000 , 97.5833 ,-17.3667
1 ,bn221017679 ,SGR221017679 ,  59869.6778123 ,  59869.6793906 ,SGR ,  32 ,10010000000000 , 31.7333 ,-24.1667
1 ,bn221017563 ,TGF221017563 ,  59869.5615972 ,  59869.5631919 ,TGF ,  16 ,10010100000011 ,164.1167 , -9.8833
1 ,bn221017553 ,SGR221017553 ,  59869.5510348 ,  59869.5525950 ,SGR ,  16 ,11000000000000 ,109.3167 ,-25.3167
0 ,bn221017469 ,SGR221017469 ,  59869.4670248 ,  59869.4685441 ,SGR ,  16 ,00011100100000 , 40.5333 , -0.1500
1 ,bn221016986 ,GRB221016986 ,  59868.9840810 ,  59868.9856795 ,GRB , 256 ,00000001100000 ,100.7167 , 23.1667
0 ,bn221016776 ,TGF221016776 ,  59868.7748812 ,  59868.7764026 ,TGF ,  16 ,00010000011011 ,117.7167 ,  1.4167
1 ,bn221015093 ,SGR221015093 ,  59867.0914481 ,  59867.0929924 ,SGR ,  16 ,00000010010000 ,191.8667 ,  0.9500
1 ,bn221014719 ,SGR221014719 ,  59866.7170788 ,  59866.7186233 ,SGR ,  16 ,00001000100000 , 88.6667 ,-23.1667
0 ,bn221014711 ,SGR221014711 ,  59866.7097747 ,  59866.7113035 ,SGR ,  16 ,00001000100000 , 47.6667 ,-24.7333
1 ,bn221014704 ,SGR221014704 ,  59866.7024738 ,  59866.7039990 ,SGR ,  64 ,00010011000000 ,  9.3833 ,-14.4667
