status,time,description,ID_in_Graph
1,1657875801.009644,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657875800.964508,read the current time ,1657875800.964508,
1,1657875800.964508,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657875810.964508,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657875810.964508,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657875820.964508,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657875820.964508,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657875830.964508,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657875830.964508,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657875870.964508,"('delay of ', 40.0)",SE0>script delay 40000,
1,1657875870.969177,read the current time ,1657875870.969177,
1,1657875870.969177,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657875880.969177,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657875880.969177,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657875890.969177,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657875890.969177,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657875900.969177,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657875900.969177,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657875960.969177,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657875960.97403,read the current time ,1657875960.97403,
1,1657875960.97403,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657875961.97403,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657875961.97403,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657875962.97403,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657875962.97403,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657875963.97403,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657875963.97403,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657876023.97403,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657876023.978699,read the current time ,1657876023.978699,
-1,1657876026.978699,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
1,1657876036.978699,"('delay of ', 10.0)",SE0>script delay 10000,
-1,1657876039.978699,12,0,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 00')"
1,1657876049.978699,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657876049.978699,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
1,1657876059.978699,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657876059.978699,12,0,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 00')"
1,1657876119.978699,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657876119.982483,read the current time ,1657876119.982483,
1,1657876123.482483,"('delay of ', 3.5)",SE0>script delay 3500,
1,1657876123.482513,read the current time ,1657876123.482513,
1,1657876123.482513,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657876133.482513,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657876133.482513,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657876173.482513,"('delay of ', 40.0)",SE0>script delay 40000,
-1,1657876176.482513,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657876186.482513,"('delay of ', 10.0)",SE0>script delay 10000,
-1,1657876189.482513,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657876189.491364,read the current time ,1657876189.491364,
1,1657876193.991364,"('delay of ', 4.5)",SE0>script delay 4500,
1,1657876193.991211,read the current time ,1657876193.991211,
1,1657878300.0,"('delay until ', 1657878300.0)",SE0>script delayuntil 1657878300,
1,1657878300.003235,read the current time ,1657878300.003235,
-1,1657878303.003235,36,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 08')"
1,1657878313.003235,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657878313.003235,37,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 08')"
1,1657878343.003235,"('delay of ', 30.0)",SE0>script delay 30000,
1,1657878343.003235,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008000000')"
1,1657878363.003235,"('delay of ', 20.0)",SE0>script delay 20000,
1,1657878363.003235,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A000000')"
1,1657878368.003235,"('delay of ', 5.0)",SE0>script delay 5000,
1,1657878368.003235,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007000000')"
1,1657881000.0,"('delay until ', 1657881000.0)",SE0>script delayuntil 1657881000,
1,1657881000.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000800201C')"
1,1657881000.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A00341C')"
1,1657881000.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000700391C')"
1,1657881000.00827,read the current time ,1657881000.00827,
1,1657881000.00827,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007010100')"
1,1657881001.00827,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657881001.00827,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A010100')"
1,1657881002.00827,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657881002.00827,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008010100')"
1,1657881182.00827,"('delay of ', 180.0)",SE0>script delay 180000,
1,1657881182.00827,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
-1,1657881185.00827,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657881185.00827,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
-1,1657881188.00827,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657881198.00827,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657881198.028595,read the current time ,1657881198.028595,
